event_id,event_name,event_type,genre,subgenre,date_local,time_local,venue_name,venue_city,venue_state,venue_lat,venue_lon,url
17A8vxG6GRUr0t_,DC Power FC vs. Fort Lauderdale United SC,Sports,Soccer,Soccer,2026-04-22,19:00:00,Audi Field,Washington,DC,38.86799800,-77.01364200,https://www.ticketmaster.com/dc-power-fc-vs-fort-lauderdale-washington-district-of-columbia-04-22-2026/event/150062CBF67A4A59
Z7r9jZ1A7Q8xp,Washington Nationals vs. Atlanta Braves,Sports,Baseball,MLB,2026-04-23,13:05:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q8xp
1A4Zk8IGkd4Hbog,Throwback Night: Washington Spirit vs. Kansas City Current,Sports,Soccer,Soccer,2026-04-24,20:00:00,Audi Field,Washington,DC,38.86799800,-77.01364200,https://www.ticketmaster.com/throwback-night-washington-spirit-vs-kansas-washington-district-of-columbia-04-24-2026/event/15006428D5F18475
1AvfZ_dGkmIv_eC,Premium Spaces: Washington Spirit vs. Kansas City Current,Sports,Soccer,Soccer,2026-04-24,20:00:00,Audi Field,Washington,DC,38.86799800,-77.01364200,https://www.gofevo.com/group/PREMIUM0324
1A4Zk8VGkeNqMlE,Washington Mystics vs. Minnesota Lynx (Preseason),Sports,Basketball,WNBA,2026-04-25,19:30:00,CareFirst Arena,Washington,DC,38.84683200,-76.99112900,https://www.ticketmaster.com/washington-mystics-vs-minnesota-lynx-preseason-washington-district-of-columbia-04-25-2026/event/15006434A3777AE7
1A4ZkCKGkdaA1Aj,D.C. United vs Orlando City SC,Sports,Soccer,MLS,2026-04-25,19:30:00,Audi Field,Washington,DC,38.86799800,-77.01364200,https://www.ticketmaster.com/dc-united-vs-orlando-city-sc-washington-district-of-columbia-04-25-2026/event/15006393C914A15C
1A4Zk8IGkd4WboB,Washington Spirit vs. Racing Louisville FC,Sports,Soccer,Soccer,2026-04-29,19:00:00,Audi Field,Washington,DC,38.86799800,-77.01364200,https://www.ticketmaster.com/washington-spirit-vs-racing-louisville-fc-washington-district-of-columbia-04-29-2026/event/15006428D5F5847A
1AvfZ_dGkmIvye8,Premium Spaces: Washington Spirit vs. Racing Louisville FC,Sports,Soccer,Soccer,2026-04-29,19:00:00,Audi Field,Washington,DC,38.86799800,-77.01364200,https://www.gofevo.com/group/PREMIUM0429
1A4ZkuzGkdKut4e,2026 Washington Spirit Full Season Memberships,Sports,Soccer,Soccer,2026-04-30,23:59:00,Audi Field,Washington,DC,38.86799800,-77.01364200,Https://am.ticketmaster.com/washingtonspirit/buy/quickbuy?id=MTk4MQ==&camefrom=tmhost
Z7r9jZ1A7Q8xb,Washington Nationals vs. Milwaukee Brewers,Sports,Baseball,MLB,2026-05-01,18:45:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q8xb
17A8vxG6GRUiftR,DC Power FC vs. Dallas Trinity FC,Sports,Soccer,Soccer,2026-05-01,19:00:00,Audi Field,Washington,DC,38.86799800,-77.01364200,https://www.ticketmaster.com/dc-power-fc-vs-dallas-trinity-washington-district-of-columbia-05-01-2026/event/150062CBF6B14A6F
1AvfZbyGkXLc4Wn,DC Defenders vs. Dallas Renegades,Sports,Football,XFL,2026-05-02,12:00:00,Audi Field,Washington,DC,38.86799800,-77.01364200,https://www.ticketmaster.com/dc-defenders-vs-dallas-renegades-washington-district-of-columbia-05-02-2026/event/1500639F9FB55F6A
Z7r9jZ1A7Q8x_,Washington Nationals vs Milwaukee Brewers: STAR WARS Grogu Bobblehead,Sports,Baseball,MLB,2026-05-02,16:05:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q8x_
Z7r9jZ1A7Q80v,Washington Nationals vs. Milwaukee Brewers,Sports,Baseball,MLB,2026-05-03,13:35:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q80v
